question_age	question_sex	question_study	question_work	future_x	future_y	future_color	future_radius	past_x	past_y	past_color	past_radius	present_x	present_y	present_color	present_radius	summer_x	summer_y	summer_color	summer_width	summer_height	spring_x	spring_y	spring_color	spring_width	spring_height	winter_x	winter_y	winter_color	winter_width	winter_height	autum_x	autum_y	autum_color	autum_width	autum_height	morning_rotation	morning_angle	morning_color	night_rotation	night_angle	night_color	afternoon_rotation	afternoon_angle	afternoon_color	friday_x	friday_y	friday_width	friday_height	friday_color	monday_x	monday_y	monday_width	monday_height	monday_color	thursday_x	thursday_y	thursday_width	thursday_height	thursday_color	sunday_x	sunday_y	sunday_width	sunday_height	sunday_color	wednesday_x	wednesday_y	wednesday_width	wednesday_height	wednesday_color	tuesday_x	tuesday_y	tuesday_width	tuesday_height	tuesday_color	saturday_x	saturday_y	saturday_width	saturday_height	saturday_color	timeline_length	timeline_rotation	timeline_my_birth_pos	timeline_my_childhood_pos	timeline_my_youth_pos	timeline_today_pos	timeline_my_third_age_pos	timeline_year_1900_pos	timeline_year_2100_pos	timeline_wwii_pos	timeline_the_beatles_pos	questions_ending_represents_time	questions_ending_daynight	questions_ending_slider_size	questions_ending_slider_color	questions_ending_slider_position
33	1	1	1	151.044218063	130.347036362	1	97.7528705597	139.679969788	242.199035645	4	70	147.621459961	166.951522827	6	57.841506958	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
48	1	1	1	632	192	6	70	394	208	0	70	161	202	4	70	104	199	3	100	100	609	201	6	100	100	451	199	4	100	100	269	199	2	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
18	0	1	1	250.603515625	150.603515625	0	141.396484375	513.40466244	347.40466244	6	57.5953375599	412	282	5	70	203.410522461	119.035400391	5	201.178955078	101.929199219	559.894250333	119.875552654	6	199.788500667	106.248894691	208.850344658	327.530047417	4	185.700689316	130.939905167	529.150756836	325.826416016	2	202.301513672	107.652832031	213.837963938	147.423825335	1	2.33836652562	70.6616334744	0	73.0233834793	141.719259032	6	391	294.046875	50	301.90625	0	128	365.1875	50	119.625	0	329	318.219726562	50	263.560546875	0	528	382	50	100	0	257	335.58984375	50	192.8203125	0	189	358.359375	50	139.28125	0	459	263.626098633	50	380.747802734	0	520.061534821	359.118596003	0.456824503702	0.530197665266	0.59225171514	0.596326301749	0.830858408814	-0.923385911547	0.918755682469	-0.554141034508	-0.277364030076	1	2	6	6	6
40	0	1	1	579.508591038	285.491408962	0	37.5085910377	281.811595917	291.811595917	6	52.1884040833	328.44363546	290.55636454	5	113.55636454	202.839571134	254.852343991	5	185.945855826	77.5294446051	421.154054862	351.479901735	6	228.308109725	70.9598034691	617.814094395	249.474481666	7	157.628188789	53.1989633315	422.850786257	163.066177362	1	195.701572515	60.1176452518	176.050902793	171.102213559	5	-12.7433311461	51	7	38.7621663612	161.552286034	6	432	240.531494141	50	136.937011719	5	157	240.247576798	50	139.504846404	1	361	246.156341553	50	121.687316895	7	578	257	50	100	4	292	240.486351013	50	139.027297974	3	224	232.34380573	50	153.312388539	6	506	249.463158607	50	117.073682785	2	460.1548101	0.250468585094	-0.322073054131	-0.235043830328	-0.0959261484183	0.138759178181	0.591026430503	-1	1	-0.617521520634	-0.447698385191	0	0	2	7	3
31	1	1	1	609	237	6	70	164	242	3	70	391.678029992	235.678029992	7	91.3219700079	385.104924289	200.501453489	1	245.790151422	95.0029069781	384.373603486	103.000425339	5	242.747206971	92.0008506775	385.699001439	376.500002861	7	249.398002878	79.000005722	385.392578125	292.931236267	2	248.78515625	87.8624725342	122	124.934018041	1	55.7949903392	66.0498694677	7	247.41574396	168.173412996	3	334	169	50	100	1	89	166	50	100	1	272	168	50	100	1	454	166	50	100	3	213	165	50	100	1	151	165	50	100	1	395	167	50	100	3	446	0	-0.165919282511	-0.112107623318	0.0224215246637	0.0538116591928	0.385650224215	-0.968609865471	0.887892376682	-0.650224215247	-0.399103139013	-10	-10	-10	-10	-10
18	1	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26	0	1	1	628.599975586	108.400024414	0	70	441.678293885	135.921712219	5	64.8783060919	526.060028076	122.129974365	1	70	555	187.670013428	1	100	100	500.66998291	162.339996338	6	100	100	419.660003662	225.33001709	7	100	100	367.329978943	172.33001709	2	100	100	246.372991675	92.9546592932	3	39	113.665511271	0	319	86.6757798401	5	479.66998291	238.64638266	50	176.707234681	1	154.680011749	254.746858959	50	93.1862137229	7	393.66998291	247.433399727	50	169.79317369	3	661.33001709	275.848072587	50	112.983847502	0	318.009979248	225.036056927	50	207.947905677	6	232.000007629	252.66802055	50	130.663958899	5	570.659996033	226.797414977	50	221.065143191	5	515.007443503	329.851352835	0.364370291248	0.485797740033	0.596672036796	0.699835952684	0.929242107312	-1	1.0	-0.523988645134	-0.055479774802	-10	-10	-10	-10	-10
18	1	1	1	604	177	3	70	192	172	0	70	405	158	5	70	350.0625	367.25	6	76.125	83.5	509	145	5	100	100	339.53125	162	7	121.0625	118	153.0703125	113.563476562	1	190.140625	118.873046875	80.1759697495	99.8240302505	1	150.327947692	28.6159255056	7	152	95.0472106459	5	429	151.532958984	50	180.934082031	5	150	215.612548828	50	26.7749023438	0	368	190	50	100	6	83	207.12890625	50	38.2578125	2	284	202.23828125	50	77.5234375	3	215	215.266601562	50	49.466796875	4	493	183.519317627	50	124.961364746	7	200	0	-0.26	-0.13	-0.18	0.64	0.62	-0.57	0.07	-0.39	-0.67	0	2	5	0	0
38	1	1	1	642	250	7	70	162	257	1	70	400	259	6	70	216.686434212	138.667813856	1	331.384532089	201.42385403	585.784774011	358.229216295	6	333.319548022	213.274401272	218.293157548	359.220447578	7	328.586315095	208.440895155	585.370045674	137.507916761	2	334.740091347	193.015833522	270.543232843	112.301063059	1	137.948554077	132.741138009	7	22.2466881983	116.302191706	6	362	159.163360596	50	138.326721191	7	98	142	50	100	5	296	141	50	100	5	491	111.374445915	50	46.7488918304	6	232	140	50	100	5	164	141	50	100	5	428	111.990189552	50	43.9803791046	6	510.015686033	359.550630551	-0.0942936168574	-0.0750164865085	-0.0627718738984	-0.0353237881239	0.145062820601	-0.384829695072	0.59589172681	-0.267008957551	-0.13364993437	-10	-10	-10	-10	-10
31	0	1	1	245.641805437	236.299814436	5	222.914734002	404.213802338	326.786197662	1	134.213802338	512.006122133	146.993877867	7	121.006122133	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
30	0	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
29	1	1	1	592	262	1	70	206	264	0	70	404	111	5	70	194	246	1	100	100	553.44833374	231.40725708	5	162.89666748	185.18548584	356.60634297	233.865200521	7	193.212685941	152.269598958	621.146484375	237.140625	6	168.29296875	125.71875	118	204.909472267	1	51.2397050296	65.5820473538	4	323.122340311	96.1225828401	0	339	173.790101528	50	270.419796944	5	726	147.756011963	50	180.487976074	1	86	213.995662689	50	318.008674622	3	35	474.78125	50	19.5625	0	494	386	50	100	6	644	389.320129395	50	151.359741211	4	547	222.599609375	50	134.80078125	5	677.480627029	135.837248244	0.506685548335	0.410995140393	-0.0881869496283	-0.041398402427	-0.526457299223	0.952368507564	-0.602102227145	0.92005848287	0.864418450127	-10	-10	-10	-10	-10
39	0	1	1	621.78533566	274.78533566	7	132.78533566	210.402463913	273.402463913	6	145.402463913	429.984607697	272.900867462	1	133.900867462	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
24	1	1	1	612.1796875	107.8203125	2	90.1796875	134.998558179	146.001441821	3	42.9985581789	350	135	6	70	482.11629916	140.683098459	1	210.23259832	200.633803082	255.4471457	139.516422912	6	152.894291401	147.032845825	92.0516187985	138.942914237	4	42.1032375971	123.885828474	686	149	2	100	100	272	80.3332234805	5	135.770164525	136.369435939	6	-7.72181497208	143.298384408	7	429	177	50	100	1	105	290	50	100	4	352	211	50	100	5	618	258	50	100	3	276	245	50	100	7	182	270	50	100	2	508	151	50	100	6	406.004926078	-0.282242936271	0.157370514798	0.211424423386	0.30030995861	0.325141262512	0.467802604206	-0.473216183472	0.817699204905	-0.330197725776	-0.113379865086	0	3	3	5	3
34	0	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26	0	1	1	370	168	1	70	489	289	0	70	714	308	5	70	472.913202659	85.9010620111	2	78.0215818577	52.5354595172	417.301340617	78.7505389624	1	77.3973187654	78.4989220751	599.00765994	154.217201826	0	87.9846801196	76.4344036523	734.084679604	93.5064888	3	69.7972278595	63.000328064	158.974716859	139.025283141	0	296.271434568	105.759548231	1	31.6080339228	127.760902021	2	680	365.55828476	50	136.883430481	2	333	109.978696273	50	155.957392545	5	531	172.640016418	50	119.280032836	0	234	342.62902832	50	156.741943359	4	734	126.999872212	50	151.999744424	3	54	219.133319317	50	161.733361366	1	432	209.56268692	50	138.87462616	6	634.088321924	319.47711212	0.200999712834	-0.0478320214561	-0.2305515519	-0.231360031469	-0.900868974525	0.895634974562	-1	0.704165099497	0.508180430467	0	2	2	2	2
24	1	1	1	678.243017871	121.243017871	3	92.2430178709	78.0002448005	421.0002448	6	43.0002448005	368	274	7	70	472.498015422	235.377333507	1	105.371030845	100.614954893	285	236	6	100	100	89	235	7	100	100	659.473632805	230.984830852	2	104.947265611	99.969661705	142.25873873	168.162895925	7	187.101654419	234.008504397	0	308.26621977	195.607564093	6	517	96	50	100	7	115	114	50	100	7	422	185	50	100	3	699	118	50	100	7	318	102	50	100	7	225	187	50	100	3	615	182	50	100	3	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26	1	1	1	401.100282758	266.004762739	6	171.010862261	404.814269662	262.312395573	7	74.3123955727	399.178456752	264.178456752	5	131.821543248	153.111250079	272.88671875	6	245.777499842	298.6953125	512.339276787	280.999319926	3	158.678553574	305.998639852	389.873078121	263.729192135	4	122.15863186	173.419865794	293.526275635	268.062814915	1	89.0525512693	210.125629831	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
46	0	1	1	631.311613171	237.688386829	7	101.688386829	188.246007336	238.246007336	1	45.7539926638	385	240	6	70	420	122	1	100	100	268	238	6	100	100	419	359	4	100	100	563	240	2	100	100	120.217129504	150.538426493	1	27.7601889487	95.2458638496	0	270.568584698	117.462779151	6	384	366	50	100	7	388	113	50	100	1	473	336	50	100	2	290	193	50	100	6	560	242	50	100	6	476	165	50	100	5	284	340	50	100	3	200	310.91438322	-0.57	0.52	-0.45	-0.77	-0.38	-0.92	-0.04	-0.37	-0.96	-10	-10	-10	-10	-10
34	0	1	1	728.105707993	242.894292007	3	25.8942920065	53.7596284789	247.759628479	7	26.7596284789	395.811364518	256.356360092	6	210.120708122	435	159	1	100	100	380	104	6	100	100	329	159	4	100	100	380	210	2	100	100	269.606415005	131.310414774	1	143.641899805	145.59421282	0	15.9905774043	152.251683825	6	383	288.001133919	50	125.997732162	1	171	264.137128712	50	170.274257424	7	330	300	50	100	3	490	263.500161858	50	176.999676283	5	277	287.501710892	50	124.996578217	4	224	274.534011386	50	150.931977227	2	437	276.719263503	50	152.561472994	6	625.312721764	316.555159505	-0.424289543139	-0.302782543529	-0.174349176977	-0.0574303623566	0.795930958082	-1.0	1.0	-0.790545655421	-0.655881089265	-10	-10	-10	-10	-10
22	0	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
41	0	1	1	596.13427747	161.13427747	7	103.865722783	148.672526438	358.672526438	0	21.4713545635	355.244674683	264.244674683	6	62.2446746826	543.946455571	232.457634212	1	97.8929111421	104.075270178	418	231	6	100	100	162	228	0	100	100	289	229	4	100	100	334.82763068	125.474066494	7	99.2414043393	140.659195844	0	228.696209924	124.303790076	6	439	198	50	100	0	113	197	50	100	0	357	196	50	100	0	588	198	50	100	0	278	197	50	100	0	195	197	50	100	0	519	198	50	100	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
18	1	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
30	0	1	1	610.330810547	243.669189453	3	96.6691894531	301.2213974	241.7786026	7	94.2213973999	449.583271234	243.416728766	5	94.5832712343	415.674726944	362.926832759	6	147.349453888	159.853665518	414.974533511	203.995673349	5	145.949067023	151.991346698	258.488872528	204.10345459	7	154.977745056	149.79309082	259.781484667	363.497043989	2	153.562969334	156.994087977	249.880179098	175.926833617	7	43.8487856552	124.311770456	0	147.737431454	129.01735129	5	415	221	50	100	7	130	221	50	100	7	346	221	50	100	7	551	217	50	100	5	275	221	50	100	7	201	221.5	50	101	7	484	219	50	100	5	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
19	1	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
23	1	1	1	654.987136841	186.012863159	6	110.987136841	187.148032339	238.148032339	7	169.148032339	381.678289324	251.678289324	5	235.31744948	472.674043715	236.600599527	1	117.34808743	343.201199055	291.334267079	235.712528032	3	144.668534158	334.521613682	633.585698605	235.315438747	4	149.171397209	340.630877495	109.449155985	235.978657028	5	134.89831197	331.957314057	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
24	1	1	1	632	117	6	70	375.880046237	236.119953763	1	27.1199537632	496.967073601	195.406912719	5	122.967073601	600.72806959	138.848043729	1	197.456139179	51.9471096832	459.802246094	139.796386719	3	77.6044921875	85.5927734375	331.39339991	136.421859748	0	176.786799819	104.843719497	198.485862791	136.49805212	6	85.028274417	57.0038957603	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
